date;score;time_spent
2021-01-12;49;31
2021-01-12;54;80
2021-01-12;62;44
2021-01-13;56;27
2021-01-13;52;41
2021-01-13;46;7
2021-01-13;58;69
2021-01-13;46;26
2021-01-13;72;35
2021-01-14;70;24
2021-01-14;41;35
2021-01-18;63;52
2021-01-18;66;66
2021-01-18;70;69
2021-01-18;52;66
2021-01-18;59;66
2021-01-18;64;66
2021-01-18;62;66
2021-01-18;68;66
2021-01-18;65;27
2021-01-18;65;27
2021-01-18;61;54
2021-01-18;63;69
2021-01-18;64;41
2021-01-18;57;50
2021-01-18;57;58
2021-02-09;55;8
2021-03-08;33;15
